Word,Emotion
AFFECTION...Click.to.write.Choice.1,positive
HOLIDAY,positive
GOODNESS,positive
HONESTY,positive
EXCITEMENT,positive
KNOWLEDGE,positive
TREASURE,positive
PUPPY,positive
FLOWER,positive
SPRING,positive
AWARD,positive
CANDY,positive
HEAVEN,positive
SCHEDULE,neutral
FOREHEAD,neutral
POSSESSION,neutral
WHEREABOUTS,neutral
WIRE,neutral
PACKAGE,neutral
TICKET,neutral
BADGE,neutral
LOCK,neutral
TOOTH,neutral
SCALE,neutral
RAZOR,neutral
BUTTON,neutral
