Word,Emotion
MIRACLE,positive
SONG,positive
DREAM,positive
VICTORY,positive
STAR,positive
WEDDING,positive
HAPPINESS,positive
BEAUTY,positive
WARMTH,positive
REWARD,positive
MONEY,positive
WINNER,positive
PASSION,positive
ENCOUNTER,neutral
SIGN,neutral
STORAGE,neutral
LOOP,neutral
SQUARE,neutral
PIECE,neutral
CONCLUSION,neutral
PIPE,neutral
TRAINING,neutral
TIMER,neutral
NETWORK,neutral
ENGINE,neutral
CLOCK,neutral
